"Date","Region","Industry","UOM","Employment"
"2015-01","Northwest Territories","Information and cultural industries [51]","Persons",429
"2015-01","Northwest Territories","Finance and insurance [52]","Persons",571
"2015-01","Northwest Territories","Real estate and rental and leasing [53]","Persons",511
"2015-01","Northwest Territories","Professional, scientific and technical services [54]","Persons",1015
"2015-01","Northwest Territories","Management of companies and enterprises [55]","Persons",52
"2015-01","Northwest Territories","Administrative and support, waste management and remediation services [56]","Persons",589
"2015-01","Northwest Territories","Educational services [61]","Persons",2168
"2015-01","Northwest Territories","Health care and social assistance [62]","Persons",1537
"2015-01","Northwest Territories","Arts, entertainment and recreation [71]","Persons",239
"2015-01","Northwest Territories","Accommodation and food services [72]","Persons",1690
"2015-01","Northwest Territories","Other services (except public administration) [81]","Persons",801
"2015-01","Northwest Territories","Public administration [91]","Persons",6085
"2015-01","Nunavut","Industrial aggregate including unclassified businesses [00-91N]","Persons",14553
"2015-01","Nunavut","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",14467
"2015-01","Nunavut","Goods producing industries [11-33N]","Persons",1424
"2015-01","Nunavut","Construction [23]","Persons",1052
"2015-01","Nunavut","Service producing industries [41-91N]","Persons",13042
"2015-01","Nunavut","Trade [41-45N]","Persons",1617
"2015-01","Nunavut","Wholesale trade [41]","Persons",120
"2015-01","Nunavut","Retail trade [44-45]","Persons",1497
"2015-01","Nunavut","Transportation and warehousing [48-49]","Persons",685
"2015-01","Nunavut","Information and cultural industries [51]","Persons",85
"2015-01","Nunavut","Finance and insurance [52]","Persons",166
"2015-01","Nunavut","Real estate and rental and leasing [53]","Persons",777
"2015-01","Nunavut","Professional, scientific and technical services [54]","Persons",205
"2015-01","Nunavut","Management of companies and enterprises [55]","Persons",63
"2015-01","Nunavut","Administrative and support, waste management and remediation services [56]","Persons",567
"2015-01","Nunavut","Educational services [61]","Persons",1050
"2015-01","Nunavut","Health care and social assistance [62]","Persons",996
"2015-01","Nunavut","Arts, entertainment and recreation [71]","Persons",71
"2015-01","Nunavut","Accommodation and food services [72]","Persons",419
"2015-01","Nunavut","Other services (except public administration) [81]","Persons",348
"2015-01","Nunavut","Public administration [91]","Persons",5994
"2015-02","Canada","Industrial aggregate including unclassified businesses [00-91N]","Persons",15741983
"2015-02","Canada","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",15506747
"2015-02","Canada","Goods producing industries [11-33N]","Persons",2860362
"2015-02","Canada","Forestry, logging and support [11N]","Persons",39740
"2015-02","Canada","Mining, quarrying, and oil and gas extraction [21]","Persons",223512
"2015-02","Canada","Utilities [22]","Persons",115654
"2015-02","Canada","Construction [23]","Persons",979046
"2015-02","Canada","Manufacturing [31-33]","Persons",1502409
"2015-02","Canada","Non-durable goods [311N]","Persons",606821
"2015-02","Canada","Durable goods [321N]","Persons",895588
"2015-02","Canada","Service producing industries [41-91N]","Persons",12646385
"2015-02","Canada","Trade [41-45N]","Persons",2714557
"2015-02","Canada","Wholesale trade [41]","Persons",789163
"2015-02","Canada","Retail trade [44-45]","Persons",1925394
"2015-02","Canada","Transportation and warehousing [48-49]","Persons",721090
"2015-02","Canada","Information and cultural industries [51]","Persons",348403
"2015-02","Canada","Finance and insurance [52]","Persons",707134
"2015-02","Canada","Real estate and rental and leasing [53]","Persons",285995
"2015-02","Canada","Professional, scientific and technical services [54]","Persons",854299
"2015-02","Canada","Management of companies and enterprises [55]","Persons",106070
"2015-02","Canada","Administrative and support, waste management and remediation services [56]","Persons",785173
"2015-02","Canada","Educational services [61]","Persons",1230122
"2015-02","Canada","Health care and social assistance [62]","Persons",1822235
"2015-02","Canada","Arts, entertainment and recreation [71]","Persons",255180
"2015-02","Canada","Accommodation and food services [72]","Persons",1222585
"2015-02","Canada","Other services (except public administration) [81]","Persons",551567
"2015-02","Canada","Public administration [91]","Persons",1041975
"2015-02","Newfoundland and Labrador","Industrial aggregate including unclassified businesses [00-91N]","Persons",219457
"2015-02","Newfoundland and Labrador","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",214386
"2015-02","Newfoundland and Labrador","Goods producing industries [11-33N]","Persons",40706
"2015-02","Newfoundland and Labrador","Forestry, logging and support [11N]","Persons",716
"2015-02","Newfoundland and Labrador","Mining, quarrying, and oil and gas extraction [21]","Persons",5849
"2015-02","Newfoundland and Labrador","Utilities [22]","Persons",2784
"2015-02","Newfoundland and Labrador","Construction [23]","Persons",19430
"2015-02","Newfoundland and Labrador","Manufacturing [31-33]","Persons",11927
"2015-02","Newfoundland and Labrador","Service producing industries [41-91N]","Persons",173680
